AtomicNumber,Element,symbol,AtomicMass,NumberOfNeutrons,NumberOfProtons,NumberOfElectrons,Period,Group,Radioactive,AtomicRadius,Electronegativity,ionizationEnergy,Density,MeltingPoint,BoilingPoint,stableIsotopes,SpecificHeat,NumberOfShells,NumberOfValence
1,Hydrogen,H,1.008,0,1,1,1,1,,120,2.20,13.5984,0.000090,13.81,20.28,2,14.304,1,1
2,Helium,He,4.003,2,2,2,1,18,,140,,24.5874,0.000179,0.95,4.22,2,5.193,1,2
3,Lithium,Li,7.000,4,3,3,2,1,,182,0.98,5.3917,0.534000,453.65,1615.00,2,3.582,2,1
4,Beryllium,Be,9.012,5,4,4,2,2,,153,1.57,9.3227,1.850000,1560.00,2744.00,1,1.825,2,2
5,Boron,B,10.810,6,5,5,2,13,,192,2.04,8.2980,2.370000,2348.00,4273.00,2,1.026,2,3
6,Carbon,C,12.011,6,6,6,2,14,,170,2.55,11.2603,2.267000,3823.00,4098.00,2,0.709,2,4
7,Nitrogen,N,14.007,7,7,7,2,15,,155,3.04,14.5341,0.001251,63.15,77.36,2,1.040,2,5
8,Oxygen,O,15.999,8,8,8,2,16,,152,3.44,13.6181,0.001429,54.36,90.20,3,0.918,2,6
9,Fluorine,F,18.998,10,9,9,2,17,,135,3.98,17.4228,0.001696,53.53,85.03,1,0.824,2,7
10,Neon,Ne,20.180,10,10,10,2,18,,154,,21.5645,0.000900,24.56,27.07,3,1.030,2,8
11,Sodium,Na,22.990,12,11,11,3,1,,227,0.93,5.1391,0.970000,370.95,1156.00,1,1.228,3,1
12,Magnesium,Mg,24.305,12,12,12,3,2,,173,1.31,7.6462,1.740000,923.00,1363.00,3,1.023,3,2
13,Aluminum,Al,26.982,14,13,13,3,13,,184,1.61,5.9858,2.700000,933.44,2792.00,1,0.897,3,3
14,Silicon,Si,28.085,14,14,14,3,14,,210,1.90,8.1517,2.329600,1687.00,3538.00,3,0.705,3,4
15,Phosphorus,P,30.974,16,15,15,3,15,,180,2.19,10.4867,1.820000,317.30,553.65,1,0.769,3,5
16,Sulfur,S,32.070,16,16,16,3,16,,180,2.58,10.3600,2.067000,388.36,717.75,4,0.710,3,6
17,Chlorine,Cl,35.450,18,17,17,3,17,,175,3.16,12.9676,0.003214,171.65,239.11,2,0.479,3,7
18,Argon,Ar,39.900,22,18,18,3,18,,188,,15.7596,0.001784,83.80,87.30,3,0.520,3,8
